Date_reported,Country_code,Country,WHO_region,New_cases,Cumulative_cases,New_deaths,Cumulative_deaths
29/5/2020,IN,India,SEARO,7466,165804,175,4706
30/5/2020,IN,India,SEARO,7964,173768,265,4971
31/5/2020,IN,India,SEARO,8380,182148,193,5164
1/6/2020,IN,India,SEARO,8392,190540,230,5394
2/6/2020,IN,India,SEARO,8171,198711,204,5598
3/6/2020,IN,India,SEARO,8909,207620,217,5815
4/6/2020,IN,India,SEARO,9304,216924,260,6075
5/6/2020,IN,India,SEARO,9851,226775,273,6348
6/6/2020,IN,India,SEARO,9887,236662,294,6642
7/6/2020,IN,India,SEARO,9971,246633,287,6929
8/6/2020,IN,India,SEARO,9983,256616,271,7200
9/6/2020,IN,India,SEARO,9987,266603,271,7471
10/6/2020,IN,India,SEARO,9985,276588,274,7745
11/6/2020,IN,India,SEARO,9996,286584,357,8102
12/6/2020,IN,India,SEARO,10956,297540,396,8498
13/6/2020,IN,India,SEARO,11458,308998,386,8884
14/6/2020,IN,India,SEARO,11929,320927,311,9195
15/6/2020,IN,India,SEARO,11502,332429,325,9520
16/6/2020,IN,India,SEARO,10667,343096,380,9900
17/6/2020,IN,India,SEARO,10974,354070,2003,11903
18/6/2020,IN,India,SEARO,12881,366951,334,12237
19/6/2020,IN,India,SEARO,13586,380537,336,12573
20/6/2020,IN,India,SEARO,14516,395053,375,12948
21/6/2020,IN,India,SEARO,15413,410466,306,13254
22/6/2020,IN,India,SEARO,14821,425287,445,13699
23/6/2020,IN,India,SEARO,14933,440220,312,14011
24/6/2020,IN,India,SEARO,15968,456188,465,14476
25/6/2020,IN,India,SEARO,16922,473110,418,14894
26/6/2020,IN,India,SEARO,17296,490406,407,15301
27/6/2020,IN,India,SEARO,18552,508958,384,15685
28/6/2020,IN,India,SEARO,19906,528864,410,16095
29/6/2020,IN,India,SEARO,19459,548323,380,16475
30/6/2020,IN,India,SEARO,18522,566845,418,16893
1/7/2020,IN,India,SEARO,18653,585498,507,17400
2/7/2020,IN,India,SEARO,19148,604646,434,17834
3/7/2020,IN,India,SEARO,20903,625549,379,18213
4/7/2020,IN,India,SEARO,22771,648320,442,18655
5/7/2020,IN,India,SEARO,24850,673170,613,19268
6/7/2020,IN,India,SEARO,24248,697418,425,19693
7/7/2020,IN,India,SEARO,22252,719670,467,20160
8/7/2020,IN,India,SEARO,22752,742422,482,20642
9/7/2020,IN,India,SEARO,24879,767301,487,21129
10/7/2020,IN,India,SEARO,26506,793807,475,21604
11/7/2020,IN,India,SEARO,27114,820921,519,22123
12/7/2020,IN,India,SEARO,28637,849558,551,22674
13/7/2020,IN,India,SEARO,28701,878259,500,23174
14/7/2020,IN,India,SEARO,28498,906757,553,23727
15/7/2020,IN,India,SEARO,29429,936186,582,24309
16/7/2020,IN,India,SEARO,32695,968881,606,24915
17/7/2020,IN,India,SEARO,34956,1003837,687,25602
18/7/2020,IN,India,SEARO,34884,1038721,671,26273
19/7/2020,IN,India,SEARO,38902,1077623,543,26816
20/7/2020,IN,India,SEARO,40425,1118048,681,27497
